run_id,source,project_id,timestamp,domain,dataset,architecture,num_classes,dataset_size,dataset_fraction,full_dataset_size,label_entropy,class_imbalance,input_resolution,sweep_type,params,learning_rate,batch_size,weight_decay,optimizer,num_steps,val_accuracy,train_accuracy,best_step,train_time_seconds,energy_kwh,compute_flops,generalization_gap,gen_warning,extrapolation_ratio
run_342f8297,internal,vision_cifar10,2026-03-01T08:47:58.016267+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,72954,0.01,128,0.0001,adam,10000,0.7358,0.737444,9900,576.23,0.040016,11207296,0.001644,LOW,
run_4a0be431,internal,vision_cifar10,2026-03-01T09:00:26.109907+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,72954,0.01,128,0.0001,adam,10000,0.7384,0.739397,9828,290.82,0.020196,11207296,0.000997,LOW,
run_c03836df,internal,vision_cifar10,2026-03-01T09:05:42.744041+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,72954,0.003,128,0.0001,adam,10000,0.7476,0.779576,9108,316.11,0.021952,11207296,0.031976,LOW,
run_48dd9761,internal,vision_cifar10,2026-03-01T09:11:11.278069+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,72954,0.001,128,0.0001,adam,10000,0.7112,0.738002,9864,328.33,0.022801,11207296,0.026802,LOW,
run_9f74009b,internal,vision_cifar10,2026-03-01T09:17:38.681837+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,72954,0.0003,128,0.0001,adam,10000,0.6502,0.646205,9792,387.09,0.026881,11207296,-0.003995,LOW,
run_1057443c,internal,vision_cifar10,2026-03-01T09:23:48.046307+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,72954,0.0001,128,0.0001,adam,10000,0.5534,0.521763,9864,368.94,0.025621,11207296,-0.031637,LOW,
run_28bdd1cb,internal,vision_cifar10,2026-03-01T09:29:11.910180+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,72954,3e-05,128,0.0001,adam,10000,0.437,0.37779,9864,323.46,0.022463,11207296,-0.05921,LOW,
run_7b9e4756,internal,vision_cifar10,2026-03-01T09:35:20.802833+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,288746,0.01,128,0.0001,adam,10000,0.7632,0.844029,9792,368.64,0.0256,41288960,0.080829,MEDIUM,
run_acc87c6b,internal,vision_cifar10,2026-03-01T09:41:11.910163+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,288746,0.003,128,0.0001,adam,10000,0.7828,0.917411,9828,350.83,0.024363,41288960,0.134611,MEDIUM,
run_03b2b59c,internal,vision_cifar10,2026-03-01T09:47:20.844094+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,288746,0.001,128,0.0001,adam,10000,0.7782,0.929129,9180,368.64,0.0256,41288960,0.150929,HIGH,
run_6fd7b8ea,internal,vision_cifar10,2026-03-01T09:52:20.478692+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,288746,0.0003,128,0.0001,adam,10000,0.742,0.85519,9828,299.45,0.020795,41288960,0.11319,MEDIUM,
run_b398bcdf,internal,vision_cifar10,2026-03-01T09:57:23.830032+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,288746,0.0001,128,0.0001,adam,10000,0.6716,0.703962,9900,303.15,0.021052,41288960,0.032362,LOW,
run_5661f2d6,internal,vision_cifar10,2026-03-01T10:03:07.311962+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,288746,3e-05,128,0.0001,adam,10000,0.548,0.533203,10000,343.23,0.023835,41288960,-0.014797,LOW,
run_428b95a6,internal,vision_cifar10,2026-03-01T10:11:35.984745+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,647386,0.01,128,0.0001,adam,10000,0.7624,0.864676,7128,508.4,0.035306,90244992,0.102276,MEDIUM,
run_07ba57ab,internal,vision_cifar10,2026-03-01T10:19:26.787341+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,647386,0.003,128,0.0001,adam,10000,0.7878,0.938058,9720,470.62,0.032682,90244992,0.150258,HIGH,
run_5b53deb5,internal,vision_cifar10,2026-03-01T10:25:30.969107+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,647386,0.001,128,0.0001,adam,10000,0.7884,0.968192,9504,363.85,0.025267,90244992,0.179792,HIGH,
run_768ae25f,internal,vision_cifar10,2026-03-01T10:31:40.069913+00:00,vision,cifar10,cnn,10,4500,0.1,,2.3026,1.0,1024.0,n_d_lr_grid,647386,0.0003,128,0.0001,adam,10000,0.7674,0.938058,8424,368.89,0.025617,90244992,0.170658,HIGH,
